UPE | Compare Intel® Products
08/01/2024 11:00:48 PM
,Intel® Xeon® Silver 4314 Processor (24M Cache- 2.40 GHz)

Essentials
Product Collection,3rd Gen Intel® Xeon® Scalable Processors
Code Name,Products formerly Ice Lake
Vertical Segment,Server
Processor Number,4314
Lithography,10 nm
Recommended Customer Price,$780.00-$792.00

CPU Specifications
Total Cores,16
Total Threads,32
Max Turbo Frequency,3.40 GHz
Processor Base Frequency,2.40 GHz
Cache,24 MB
Intel® UPI Speed,10.4 GT/s
Max # of UPI Links,2
TDP,135 W

Supplemental Information
Marketing Status,Launched
Launch Date,Q2'21
Servicing Status,Baseline Servicing
Embedded Options Available,Yes
Use Conditions,Server/Enterprise

Memory Specifications
Max Memory Size (dependent on memory type),6 TB
Memory Types,DDR4-2667
Maximum Memory Speed,2667 MHz
Max # of Memory Channels,8
Intel® Optane™ Persistent Memory Supported,Yes
ECC Memory Supported   ‡,Yes

Expansion Options
Scalability,2S
PCI Express Revision,4.0
Max # of PCI Express Lanes,64

Package Specifications
Sockets Supported,FCLGA4189
TCASE,86°C
Package Size,77.5mm x 56.5mm

Advanced Technologies
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Intel® Resource Director Technology (Intel® RDT),Yes
Intel® Speed Shift Technology,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,Yes
Intel® 64 ‡,Yes
Instruction Set Extensions,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512
# of AVX-512 FMA Units,2
Intel® Volume Management Device (VMD),Yes

Security & Reliability
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® SPS
Default Maximum Enclave Page Cache (EPC) Size for Intel® SGX,8 GB
Intel® Crypto Acceleration,Yes
Intel® Platform Firmware Resilience Support,Yes
Intel® Total Memory Encryption,Yes
Intel® AES New Instructions,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
